147,AR,05071,35.573359,-93.466322
148,AR,05073,33.240660,-93.611643
149,AR,05075,36.041098,-91.101153
150,AR,05077,34.779750,-90.779288
151,AR,05079,33.957665,-91.727624
152,AR,05081,33.699497,-94.229774
153,AR,05083,35.218550,-93.720563
154,AR,05085,34.755114,-91.894132
155,AR,05087,36.012545,-93.724053
156,AR,05089,36.266656,-92.678588
157,AR,05091,33.305505,-93.901509
158,AR,05093,35.766943,-90.052209
159,AR,05095,34.679513,-91.203314
160,AR,05097,34.545652,-93.664147
161,AR,05099,33.666699,-93.305072
162,AR,05101,35.910063,-93.215084
163,AR,05103,33.591158,-92.878418
164,AR,05105,34.946363,-92.926877
165,AR,05107,34.425842,-90.848386
166,AR,05109,34.158191,-93.658659
167,AR,05111,35.568981,-90.680595
168,AR,05113,34.490915,-94.230884
169,AR,05115,35.455297,-93.031535
170,AR,05117,34.828225,-91.557200
171,AR,05119,34.773988,-92.316515
172,AR,05121,36.341299,-91.028441
173,AR,05123,35.014438,-90.742199
174,AR,05125,34.648525,-92.674463
175,AR,05127,34.858869,-94.063641
176,AR,05129,35.909660,-92.699351
177,AR,05131,35.196981,-94.274989
178,AR,05133,33.994608,-94.243290
179,AR,05135,36.173399,-91.471069
180,AR,05137,35.856989,-92.140494
181,AR,05139,33.168219,-92.598145
182,AR,05141,35.582959,-92.515977
183,AR,05143,35.971209,-94.218417
184,AR,05145,35.254722,-91.753158
185,AR,05147,35.189071,-91.244418
186,AR,05149,34.997713,-93.408303
187,CA,06001,37.648081,-121.913304
188,CA,06003,38.617610,-119.798999
189,CA,06005,38.443550,-120.653856
190,CA,06007,39.665959,-121.601919
191,CA,06009,38.187844,-120.555115
192,CA,06011,39.177739,-122.237563
193,CA,06013,37.919479,-121.951543
194,CA,06015,41.749903,-123.980998
195,CA,06017,38.785532,-120.534398
196,CA,06019,36.761006,-119.655019
197,CA,06021,39.602546,-122.401700
198,CA,06023,40.706673,-123.925818
199,CA,06025,33.040816,-115.355395
200,CA,06027,36.561977,-117.403927
201,CA,06029,35.346629,-118.729506
202,CA,06031,36.072478,-119.815530
203,CA,06033,39.094802,-122.746757
204,CA,06035,40.721089,-120.629931
205,CA,06037,34.196398,-118.261862
206,CA,06039,37.210039,-119.749852
207,CA,06041,38.051817,-122.745974
208,CA,06043,37.570034,-119.912860
209,CA,06045,39.432388,-123.442881
210,CA,06047,37.194806,-120.722802
211,CA,06049,41.592919,-120.718370
212,CA,06051,37.915836,-118.875167
213,CA,06053,36.240107,-121.315573
214,CA,06055,38.507351,-122.325995
215,CA,06057,39.295191,-120.773446
216,CA,06059,33.675687,-117.777207
217,CA,06061,39.062032,-120.722718
218,CA,06063,39.995170,-120.829516
219,CA,06065,33.729828,-116.002239
220,CA,06067,38.450011,-121.340441
221,CA,06069,36.610702,-121.085296
222,CA,06071,34.857220,-116.181197
223,CA,06073,33.023604,-116.776117
224,CA,06075,37.727239,-123.032229
225,CA,06077,37.935034,-121.272237
226,CA,06079,35.385227,-120.447540
227,CA,06081,37.414664,-122.371542
228,CA,06083,34.537378,-120.038485
229,CA,06085,37.220777,-121.690622
230,CA,06087,37.012488,-122.007205
231,CA,06089,40.760522,-122.043550
232,CA,06091,39.576925,-120.521993
233,CA,06093,41.587986,-122.533287
234,CA,06095,38.267226,-121.939594
235,CA,06097,38.532574,-122.945194
236,CA,06099,37.562384,-121.002656
237,CA,06101,39.035257,-121.702758
238,CA,06103,40.126156,-122.232276
239,CA,06105,40.647724,-123.114404
240,CA,06107,36.230453,-118.780542
241,CA,06109,38.021451,-119.964708
242,CA,06111,34.358742,-119.133143
243,CA,06113,38.679268,-121.903178
244,CA,06115,39.270026,-121.344280
245,CO,08001,39.874325,-104.331872
246,CO,08003,37.568442,-105.788041
247,CO,08005,39.644632,-104.331733
248,CO,08007,37.202395,-107.050863
249,CO,08009,37.303144,-102.535457
250,CO,08011,37.931891,-103.077584
251,CO,08013,40.094826,-105.398382
252,CO,08014,39.953383,-105.052125
253,CO,08015,38.738246,-106.316972
254,CO,08017,38.835387,-102.604585
255,CO,08019,39.689403,-105.670791
256,CO,08021,37.213407,-106.176447
257,CO,08023,37.277547,-105.428940
258,CO,08025,38.321956,-103.787562
259,CO,08027,38.101994,-105.373515
260,CO,08029,38.861756,-107.864757
261,CO,08031,39.761849,-104.880625
262,CO,08033,37.747602,-108.530383
263,CO,08035,39.326435,-104.926199
264,CO,08037,39.630638,-106.692944
265,CO,08039,39.310817,-104.117928
266,CO,08041,38.827383,-104.527472
267,CO,08043,38.455658,-105.421438
268,CO,08045,39.599352,-107.909780
269,CO,08047,39.861082,-105.528947
270,CO,08049,40.123289,-106.095876
271,CO,08051,38.669679,-107.078108
272,CO,08053,37.811625,-107.383405
273,CO,08055,37.687815,-104.959928
274,CO,08057,40.663432,-106.329248
275,CO,08059,39.586460,-105.245601
276,CO,08061,38.388466,-102.756210
277,CO,08063,39.305340,-102.603023
278,CO,08065,39.204316,-106.349696
279,CO,08067,37.287367,-107.839718
280,CO,08069,40.663091,-105.482131
281,CO,08071,37.318831,-104.044110
282,CO,08073,38.993740,-103.507555
283,CO,08075,40.728091,-103.090464
284,CO,08077,39.019492,-108.461837
285,CO,08079,37.651478,-106.932300
286,CO,08081,40.573984,-108.204521
287,CO,08083,37.338025,-108.595786
288,CO,08085,38.413427,-108.263042
289,CO,08087,40.262354,-103.807092
290,CO,08089,37.884170,-103.721260
291,CO,08091,38.150600,-107.767133
292,CO,08093,39.118914,-105.717648
293,CO,08095,40.594712,-102.345105
294,CO,08097,39.217533,-106.915943
295,CO,08099,37.958181,-102.392161
296,CO,08101,38.170658,-104.489893
297,CO,08103,39.972606,-108.200685
298,CO,08105,37.485763,-106.453214
299,CO,08107,40.483160,-106.985289
300,CO,08109,38.033952,-106.246675
301,CO,08111,37.781075,-107.670257
302,CO,08113,38.009374,-108.427326
303,CO,08115,40.871568,-102.355358
304,CO,08117,39.621023,-106.137555
305,CO,08119,38.871994,-105.182552
306,CO,08121,39.965413,-103.209605
307,CO,08123,40.555794,-104.383649
308,CO,08125,40.000631,-102.422649
309,CT,09001,41.228103,-73.366757
310,CT,09003,41.806053,-72.732916
311,CT,09005,41.791897,-73.235428
312,CT,09007,41.434525,-72.524227
313,CT,09009,41.349717,-72.900204
314,CT,09011,41.478630,-72.103452
315,CT,09013,41.858076,-72.340977
316,CT,09015,41.824999,-71.990702
317,DE,10001,39.097088,-75.502982
318,DE,10003,39.575915,-75.644132
319,DE,10005,38.677511,-75.335495
320,DC,11001,38.904149,-77.017094
321,FL,12001,29.675740,-82.357221
322,FL,12003,30.324442,-82.302284
323,FL,12005,30.237563,-85.631348
324,FL,12007,29.946934,-82.166796
325,FL,12009,28.298276,-80.700384
326,FL,12011,26.193520,-80.476658
327,FL,12013,30.388801,-85.197916
328,FL,12015,26.868826,-81.940858
329,FL,12017,28.843628,-82.524796
330,FL,12019,29.987116,-81.858147
331,FL,12021,26.118713,-81.400884
332,FL,12023,30.221305,-82.623127
333,FL,12027,27.190581,-81.806253
334,FL,12029,29.580899,-83.195666
335,FL,12031,30.335245,-81.648113
336,FL,12033,30.611664,-87.339040
337,FL,12035,29.474894,-81.286362
338,FL,12037,29.810176,-84.799174
339,FL,12039,30.579170,-84.612783
340,FL,12041,29.723456,-82.795801
341,FL,12043,26.954810,-81.190820
342,FL,12045,29.907257,-85.256537
343,FL,12047,30.491102,-82.951049
344,FL,12049,27.492846,-81.821580
345,FL,12051,26.539340,-81.151584
346,FL,12053,28.567911,-82.464835
347,FL,12055,27.342627,-81.340921
